#Loop,End Loop,Init Script,End Script
{1},6.893089294433594,1683814960.0113385,1683815205.8016365
{2},5.0935540199279785,1683814960.0113385,1683815205.8016365
{3},4.605372905731201,1683814960.0113385,1683815205.8016365
{4},4.554448843002319,1683814960.0113385,1683815205.8016365
{5},5.112185478210449,1683814960.0113385,1683815205.8016365
{6},5.506776571273804,1683814960.0113385,1683815205.8016365
{7},5.416611433029175,1683814960.0113385,1683815205.8016365
{8},5.46797251701355,1683814960.0113385,1683815205.8016365
{9},5.000664710998535,1683814960.0113385,1683815205.8016365
{10},5.06562352180481,1683814960.0113385,1683815205.8016365
{11},4.715497016906738,1683814960.0113385,1683815205.8016365
{12},4.904874563217163,1683814960.0113385,1683815205.8016365
{13},4.726127624511719,1683814960.0113385,1683815205.8016365
{14},4.718770980834961,1683814960.0113385,1683815205.8016365
{15},4.947730541229248,1683814960.0113385,1683815205.8016365
{16},6.381551027297974,1683814960.0113385,1683815205.8016365
{17},4.391400337219238,1683814960.0113385,1683815205.8016365
{18},4.828486442565918,1683814960.0113385,1683815205.8016365
{19},5.025602579116821,1683814960.0113385,1683815205.8016365
{20},4.534865617752075,1683814960.0113385,1683815205.8016365
{21},4.649581670761108,1683814960.0113385,1683815205.8016365
{22},4.652094602584839,1683814960.0113385,1683815205.8016365
{23},5.703563690185547,1683814960.0113385,1683815205.8016365
{24},4.756628751754761,1683814960.0113385,1683815205.8016365
{25},4.911803245544434,1683814960.0113385,1683815205.8016365
{26},4.500789642333984,1683814960.0113385,1683815205.8016365
{27},4.605163812637329,1683814960.0113385,1683815205.8016365
{28},4.495354413986206,1683814960.0113385,1683815205.8016365
{29},4.917138338088989,1683814960.0113385,1683815205.8016365
{30},4.609714984893799,1683814960.0113385,1683815205.8016365
{31},4.907829999923706,1683814960.0113385,1683815205.8016365
{32},4.745250701904297,1683814960.0113385,1683815205.8016365
{33},4.901305198669434,1683814960.0113385,1683815205.8016365
{34},4.6128692626953125,1683814960.0113385,1683815205.8016365
{35},4.9199607372283936,1683814960.0113385,1683815205.8016365
{36},4.61527681350708,1683814960.0113385,1683815205.8016365
{37},4.6380615234375,1683814960.0113385,1683815205.8016365
{38},5.059245347976685,1683814960.0113385,1683815205.8016365
{39},4.79203724861145,1683814960.0113385,1683815205.8016365
{40},4.682049989700317,1683814960.0113385,1683815205.8016365
{41},4.861322402954102,1683814960.0113385,1683815205.8016365
{42},4.480189323425293,1683814960.0113385,1683815205.8016365
{43},4.699683904647827,1683814960.0113385,1683815205.8016365
{44},4.921109199523926,1683814960.0113385,1683815205.8016365
{45},4.658625602722168,1683814960.0113385,1683815205.8016365
{46},4.916203260421753,1683814960.0113385,1683815205.8016365
{47},4.588816404342651,1683814960.0113385,1683815205.8016365
{48},5.0544610023498535,1683814960.0113385,1683815205.8016365
{49},4.99822211265564,1683814960.0113385,1683815205.8016365
{50},5.039669990539551,1683814960.0113385,1683815205.8016365
