#Loop,Duration Loop(sec)
{1},26.474733591079712
{2},28.781275510787964
{3},39.767895221710205
{4},37.558095932006836
{5},29.84253191947937
{6},36.07922554016113
{7},30.18417501449585
{8},35.87879419326782
{1},8.971878290176392
{2},23.4012188911438
{3},24.06515645980835
{4},27.442208290100098
{1},5.362959384918213
{2},7.887860059738159
{3},5.327889442443848
{4},15.154070854187012
{1},5.362051010131836
{2},8.013767957687378
{3},7.825789213180542
{4},8.194468259811401
{1},5.492463827133179
{2},5.688215732574463
{3},5.533633708953857
{4},8.005357027053833
{1},5.412436485290527
{2},5.720368146896362
{3},5.660265922546387
{4},5.7952821254730225
{1},5.431995630264282
{2},5.717971563339233
{3},8.03510332107544
{4},5.646586894989014
{1},5.249549865722656
{2},5.553555250167847
{3},5.567912340164185
{4},5.622712135314941
{1},5.2942986488342285
{2},5.583133935928345
{3},5.6690802574157715
{4},11.797393083572388
{1},9.000036239624023
{2},9.068685293197632
{3},10.794252872467041
{4},11.122979164123535
{1},10.782480716705322
{2},7.978097438812256
{3},8.063183784484863
{4},5.616405487060547
{1},5.546565771102905
{2},5.682741165161133
{3},5.58466362953186
{4},5.492119073867798
{1},5.280413866043091
{2},5.698038101196289
{3},5.610690116882324
{4},5.4781012535095215
{1},5.368400573730469
{2},9.179659366607666
{3},5.578755617141724
{4},5.466502666473389
{1},5.3292529582977295
{2},5.710693836212158
{3},7.88914680480957
{4},5.48253059387207
{1},5.523161172866821
{2},5.866806268692017
{3},5.502833843231201
{4},5.62101674079895
{1},5.2626872062683105
{2},5.5725157260894775
{3},7.8710925579071045
{4},7.864208698272705
{1},5.370176315307617
{2},5.6132566928863525
{3},5.5524396896362305
{4},5.3985021114349365
{1},5.53557562828064
{2},12.110958576202393
{3},10.383851289749146
{4},7.756027460098267
{5},9.47709035873413
{6},35.64237904548645
{7},28.44381594657898
{8},32.69343161582947
{9},32.47664403915405
{10},36.1427948474884
{11},28.050332069396973
{12},41.16306805610657
{13},41.36599063873291
{14},34.96333885192871
{15},37.327293395996094
{16},25.133716583251953
{17},40.59567451477051
{18},30.14586591720581
{19},45.82691764831543
{20},42.79844689369202
{21},32.82478380203247
{22},42.63654565811157
{23},39.7272789478302
{24},30.871286869049072
{25},37.011489391326904
{26},34.25087094306946
{27},38.01544451713562
{28},39.750404834747314
{29},34.145188093185425
{30},40.9098162651062
{31},28.201659679412842
{32},36.604432821273804
{33},39.83132863044739
{34},31.709740161895752
{35},39.1497859954834
{36},26.82306742668152
{37},35.81208348274231
{38},34.322620153427124
{39},38.07200741767883
{40},38.494075536727905
{41},30.229323863983154
{42},36.56976318359375
{43},30.798250675201416
{44},36.856868267059326
{45},28.32522201538086
{46},37.49645471572876
{47},38.49384021759033
{48},32.03774309158325
{49},55.3214955329895
{50},37.29842734336853
{1},18.706259965896606
{2},40.44567608833313
{3},23.85740852355957
{4},33.47972273826599
{5},23.537173986434937
{6},36.655423641204834
{7},26.7063946723938
{8},39.11220693588257
{9},30.014541149139404
{10},37.57931733131409
{11},28.34491539001465
{12},34.321009159088135
{13},27.541645050048828
{14},34.11294651031494
{15},25.759942770004272
{16},39.137680530548096
{17},39.74922251701355
{18},44.51363015174866
{19},37.28431034088135
{20},39.01421618461609
{21},26.72025179862976
{22},24.62520933151245
{23},36.60039710998535
{24},42.59496235847473
{25},25.596315145492554
{26},36.033347368240356
{27},28.216660976409912
{28},46.63427186012268
{29},39.74952697753906
{30},24.357000827789307
{1},11.243591070175171
{2},18.62711215019226
{3},8.38291072845459
{4},8.23498272895813
{5},11.994372606277466
{6},12.062184572219849
{7},17.32328748703003
{8},11.384149551391602
{9},15.577567100524902
{10},13.128913164138794
{11},20.31692934036255
{12},8.772772073745728
{13},10.745023727416992
{14},15.91012191772461
{15},25.142409086227417
{16},11.46500849723816
{1},9.509867191314697
{1},5.967581510543823
{1},5.889493703842163
{1},8.200541973114014
{1},5.902189016342163
{1},5.800715208053589
{1},5.799607038497925
{1},5.986056804656982
{1},5.716799020767212
{1},5.80189847946167
{1},5.929258584976196
{1},5.844769239425659
{1},5.803940773010254
{1},5.780689477920532
{1},5.807252883911133
{1},5.855457305908203
{1},5.802709102630615
{1},8.571663856506348
{1},6.12332820892334
{2},8.066160917282104
{3},13.344445943832397
{4},5.742748260498047
{5},10.351185321807861
{1},8.79773497581482
{2},5.695065021514893
{3},5.919524669647217
{4},5.87418532371521
{5},5.808971881866455
{1},5.797390699386597
{2},5.574703216552734
{3},5.9084062576293945
{4},5.707571983337402
{5},6.081077337265015
{1},5.918477535247803
{2},5.9213707447052
{3},5.961111783981323
{4},5.820132493972778
{5},5.9904584884643555
{1},6.002970218658447
{2},5.729940891265869
{3},6.311021327972412
{4},5.762683153152466
{5},5.853940725326538
{1},8.58968472480774
{2},13.493388652801514
{3},8.483894109725952
{4},5.92496919631958
{5},8.50092339515686
{1},5.955582618713379
{2},5.72951865196228
{3},5.999337911605835
{4},5.694979190826416
{5},5.909771203994751
{1},5.834981679916382
{2},5.723027229309082
{3},5.85664439201355
{4},5.698636054992676
{5},6.013729810714722
{1},5.967993259429932
{2},5.875248670578003
{3},6.180291175842285
{4},5.7375030517578125
{5},5.826296806335449
{1},6.03029990196228
{2},5.734876871109009
{3},6.109941244125366
{4},5.7737672328948975
{5},5.883563041687012
{1},6.040948390960693
{2},5.939296007156372
{3},6.135240316390991
{4},5.83427357673645
{5},5.920727729797363
{1},9.049088478088379
{2},5.647446393966675
{3},5.976996898651123
{4},5.776963710784912
{5},5.948124647140503
{1},5.929394721984863
{2},5.747847557067871
{3},6.0962913036346436
{4},5.904834747314453
{5},5.872200965881348
{1},5.9280478954315186
{2},13.377734661102295
{3},9.538450956344604
{4},9.570703983306885
{5},5.947679758071899
{1},9.733671188354492
{2},10.966292381286621
{3},11.913877248764038
{4},8.112877368927002
{5},14.845978498458862
{1},5.815297365188599
{2},5.92167329788208
{3},5.986856460571289
